Laptop_name,Price(VND),GPU,CPU,RAM(GB),Storage(GB),Screen_size(inches)
 Laptop ASUS Vivobook 15 OLED A1505VA MA468W ,18290000.0,INTEL Iris Xe Graphics,Intel Core I5 13500H,16.0,512.0,15.6
 Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W ,30890000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,32.0,1000.0,14.0
 Laptop ASUS Vivobook 14 X1404ZA-NK389W ,15990000.0,INTEL Iris Xe Graphics,Intel Core i7 1255U,16.0,512.0,14.0
 Laptop ASUS VivoBook 15 OLED A1505VA-L1114W ,17390000.0,INTEL Iris Xe Graphics,Intel Core i5 13500H,16.0,512.0,15.6
 Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W ,20290000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12500H,16.0,512.0,15.6
 Laptop ASUS Vivobook 15 X1504ZA-NJ517W ,14290000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,15.6
 Laptop ASUS Gaming VivoBook K3605ZC-RP564W ,18990000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12500H,16.0,512.0,16.0
 Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS ,44990000.0,INTEL Arc Graphics,Intel Core Ultra 7 258V,32.0,1000.0,14.0
 Laptop ASUS Gaming VivoBook K3605ZU-RP296W ,23590000.0,NVIDIA GeForce RTX 4050,Intel Core i5 12500H,16.0,512.0,16.0
 Laptop ASUS Zenbook 14 Oled UX3405MA-PP151W ,25990000.0,INTEL Arc Graphics,Intel Core Ultra 5 125H,16.0,512.0,14.0
 Laptop ASUS Vivobook 15 X1504ZA-NJ582W ,10190000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,512.0,15.6
 Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W ,18990000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12500H,8.0,512.0,15.6
 Laptop ASUS TUF Gaming A15 FA506NC-HN011W  ,17490000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7535HS,8.0,512.0,15.6
 Laptop ASUS Vivobook 14 X1404ZA-NK386W ,9990000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,512.0,14.0
 Laptop ASUS Vivobook 15X OLED M3504YA-L1332W ,15990000.0,AMD Radeon Graphics,AMD Ryzen 7 7730U,16.0,512.0,15.6
 Laptop ASUS Gaming VivoBook K3605ZF-RP634W ,16990000.0,NVIDIA GeForce RTX 2050,Intel Core i5 12500H,16.0,512.0,16.0
 Laptop ASUS Vivobook GO 15 E1504FA-NJ454W ,12490000.0,AMD Radeon Graphics,AMD Ryzen 5 7520U,16.0,512.0,15.6
 Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W ,18290000.0,INTEL Iris Xe Graphics,Intel Core i7 12700H,16.0,512.0,14.0
 Laptop ASUS TUF Gaming A15 FA506NF-HN005W ,15990000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 5 7535HS,8.0,512.0,15.6
 Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W ,16290000.0,INTEL Iris Xe Graphics,Intel Core i5 12500H,16.0,512.0,14.0
 Laptop MSI Gaming Katana AI B8VE-402VN ,25990000.0,NVIDIA GeForce RTX 4050,AMD Ryzen R7 8845HS,16.0,512.0,15.6
 Laptop MSI Stealth 16 AI Studio A1VGG-240VN ,61990000.0,NVIDIA GeForce RTX 4070,Intel Core Ultra 7 155H,32.0,2000.0,16.0
 Laptop ASUS TUF Gaming A14 FA401WV-RG061WS - Chỉ có tại CellphoneS ,44990000.0,NVIDIA GeForce RTX 4060,AMD Ryzen AI 9 HX 370,32.0,1000.0,14.0
 Laptop MSI Prestige 15 A11SCX-209VN ,32410000.0,NVIDIA GeForce GTX 1650,Intel Core i7 1185G,16.0,512.0,15.6
 Laptop MSI Prestige 13 AI EVO A1MG-062VN ,32990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,32.0,1000.0,13.3
 Laptop MSI Modern 15 B12MO-628VN ,12490000.0,INTEL Iris Xe graphics,Intel Core i5 1235U,16.0,512.0,15.6
 Laptop MSI Gaming GF63 Thin 11UD 473VN ,15990000.0,NVIDIA GeForce RTX 3050 Ti,Intel Core i5 11400H,8.0,512.0,15.6
 Laptop MSI Modern 14 B11MOU-1032VN ,13990000.0,INTEL Iris Xe Graphics,Intel Core i7 1195G,8.0,512.0,14.0
 Laptop MSI Gaming GF63 Thin 12UC-803VN ,15490000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12450H,8.0,512.0,15.6
 Laptop MSI Gaming Bravo 15 B7ED-010VN ,15490000.0,AMD Radeon RX 6550M,AMD Ryzen 5   7535HS,16.0,512.0,15.6
 Laptop MSI Modern 14 C13M-458VN ,11990000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,8.0,512.0,14.0
 Laptop Gaming MSI GF63 12UCX-841VN ,14490000.0,NVIDIA GeForce RTX 2050,Intel Core i5 12450H,8.0,512.0,15.6
 Laptop MSI Modern 14 B11MO ,13790000.0,INTEL UHD Graphics,Intel Core i3 1115G,8.0,256.0,14.0
 Laptop MSI Modern 14 C13M-608VN ,13490000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,16.0,512.0,14.0
 Laptop MSI Cyborg 15 A1VEK-053VN  ,28490000.0,NVIDIA GeForce RTX 4050,Intel Core Ultra 7 155H,16.0,512.0,15.6
 Laptop MSI Modern 15 B13M-438VN ,13490000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,8.0,512.0,15.6
 Laptop MSI Gaming Thin 15 B13UC-1411VN ,19490000.0,NVIDIA GeForce RTX 3050,Intel Core i7 13620H,8.0,512.0,15.6
 Laptop MSI Sword 16 HX B14VGKG-466VN ,39990000.0,NVIDIA GeForce RTX 4070,Intel Core i7 14650HX,16.0,1000.0,16.0
 Laptop MSI Sword 16 HX B14VEKG-039VN ,31990000.0,NVIDIA GeForce RTX 4050,Intel Core i7 14700HX,16.0,1000.0,16.0
 Laptop MSI Sword 16 HX B14VEKG-459VN ,32990000.0,NVIDIA GeForce RTX 4050,Intel Core i7 14700HX,16.0,1000.0,16.0
 Laptop MSI Pulse 17 AI C1VGKG-017VN ,50490000.0,NVIDIA GeForce RTX 4060,Intel Core Ultra 7 155H,32.0,1000.0,17.0
 Laptop MSI Cyborg 15 A12VE-412VN ,18990000.0,NVIDIA GeForce RTX 4050,Intel Core i5 12450H,8.0,512.0,15.6
 Laptop MSI Modern 14 C12MO-660VN ,11990000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,14.0
 Laptop MSI Modern 14 C12M-241VN ,14490000.0,INTEL Iris Xe Graphics,Intel Core i7 1255U,8.0,512.0,14.0
 Laptop MSI Gaming GF63 12UCX-841VN ,14490000.0,NVIDIA GeForce RTX 2050,Intel Core i5 12450H,8.0,512.0,15.6
 Laptop MSI Prestige 14 AI Studio C1UDXG-058VN ,26990000.0,NVIDIA GeForce RTX 3050,Intel Core Ultra 7 155H,16.0,1000.0,14.0
 Laptop gaming MSI Thin A15 B7UCX 020VN ,15490000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 5 7535HS,8.0,512.0,15.6
 Laptop MSI Gaming Sword 16 HX B14VFKG-460VN ,36990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 14650HX,16.0,1000.0,16.0
 Laptop MSI Gaming Bravo 15 C7VFK-275VN ,24490000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 7 7735HS,16.0,512.0,15.6
